code,name,in_colorectal_tree,relation_types,relation_groups,nci_url
C166257,Advanced Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C166257
C162475,Advanced Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162475
C142868,Advanced Microsatellite Stable Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C142868
C175363,Advanced Rectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C175363
C170777,Advanced Rectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170777
C170780,Advanced Rectal Squamous Cell Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170780
C5543,Cecum Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C5543
C3491,Cecum Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3491
C4594,Cecum Carcinoma In Situ,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C4594
C118808,Childhood Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C118808
C118823,Childhood Rectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C118823
C4349,Colon Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C4349
C5491,Colon Adenosquamous Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C5491
C90507,Colon Cancer by AJCC v6 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C90507
C91224,Colon Cancer by AJCC v7 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C91224
C134251,Colon Cancer by AJCC v8 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C134251
C4910,Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C4910
C226294,Colon Carcinoma In Situ,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C226294
C36309,Colon Carcinoma Metastatic in the Liver,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36309
C89815,Colon Carcinoma Metastatic in the Lung,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C89815
C96489,Colon Cribriform Comedo-Type Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96489
C213480,Colon Hepatoid Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C213480
C45429,Colon Intramucosal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C45429
C170977,Colon Large Cell Neuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170977
C60641,Colon Medullary Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C60641
C96492,Colon Micropapillary Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96492
C9453,Colon Moderately Differentiated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9453
C7966,Colon Mucinous Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C7966
C203384,Colon Neuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C203384
