source_code,source_name,relation_code,relation_type,target_code,target_name,relation_group,direction
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R176,Disease_Mapped_To_Gene,C18363,BRAF Gene,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R176,Disease_Mapped_To_Gene,C25785,KRAS Gene,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R176,Disease_Mapped_To_Gene,C17359,TP53 Gene,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R115,Disease_May_Have_Finding,C36156,Favorable Clinical Outcome,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R115,Disease_May_Have_Finding,C78438,Lower Gastrointestinal Hemorrhage,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C40430,BRAF Gene Mutation,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C36683,Inactivating APC Gene Mutation,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C36665,KRAS Gene Amplification,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C43597,MYC Gene Mutation,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C36329,TP53 Gene Inactivation,role,out
C159556,Advanced Adenocarcinoma,is_parent_of,is_parent_of,C166257,Advanced Colorectal Adenocarcinoma,hierarchy,parent_to_child
C162152,Advanced Colon Adenocarcinoma,A8,Concept_In_Subset,C118168,CTRP Disease Terminology,association,out
C162152,Advanced Colon Adenocarcinoma,A8,Concept_In_Subset,C116977,CTRP Terminology,association,out
C162152,Advanced Colon Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,C36771,Malignant Squamous Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,C37153,Malignant Stromal Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,C36937,Neoplastic Smooth Muscle Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,C36760,Neoplastic Squamous Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,C36122,Benign Cellular Infiltrate,role,out
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,C155862,Intermediate Grade Neuroendocrine Lesion,role,out
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,C36162,Localized Disease,role,out
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,C155864,Low Grade Neuroendocrine Lesion,role,out
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,C62273,Mixed Neoplastic Glandular and Squamous Cell Population,role,out
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,C155861,Well Differentiated Neuroendocrine Lesion,role,out
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C36773,Adenocarcinoma Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C12917,Malignant Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C36779,Malignant Epithelial Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C12922,Neoplastic Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C36753,Neoplastic Epithelial Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,C36763,Neoplastic Glandular Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12382,Colon,role,out
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C54189,Colorectal Region,role,out
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12378,Digestive System,role,out
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12736,Intestine,role,out
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,C12379,Large Intestine,role,out
C162152,Advanced Colon Adenocarcinoma,R108,Disease_Has_Finding,C54172,Carcinomatous Component Present,role,out
C162152,Advanced Colon Adenocarcinoma,R108,Disease_Has_Finding,C53596,Epithelial Component Present,role,out
C162152,Advanced Colon Adenocarcinoma,R108,Disease_Has_Finding,C36150,Extensive Stage Lesion,role,out
C162152,Advanced Colon Adenocarcinoma,R108,Disease_Has_Finding,C36115,Malignant Cellular Infiltrate,role,out
C162152,Advanced Colon Adenocarcinoma,R108,Disease_Has_Finding,C40557,Metastatic Disease,role,out
C162152,Advanced Colon Adenocarcinoma,R108,Disease_Has_Finding,C41444,Secondary Lesion,role,out
C162152,Advanced Colon Adenocarcinoma,R104,Disease_Has_Normal_Cell_Origin,C12578,Epithelial Cell,role,out
