source,source_label,relation_code,relation_type,relation_label_cn,target,target_label,relation_group,direction,research_tier
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C36683,Inactivating APC Gene Mutation,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C36665,KRAS Gene Amplification,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C43597,MYC Gene Mutation,role,out,biomedical
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,可伴随分子异常,C36329,TP53 Gene Inactivation,role,out,biomedical
C159556,Advanced Adenocarcinoma,is_parent_of,is_parent_of,父类-子类,C166257,Advanced Colorectal Adenocarcinoma,hierarchy,parent_to_child,tree
C162152,Advanced Colon Adenocarcinoma,A8,Concept_In_Subset,Concept_In_Subset,C118168,CTRP Disease Terminology,association,out,metadata
C162152,Advanced Colon Adenocarcinoma,A8,Concept_In_Subset,Concept_In_Subset,C116977,CTRP Terminology,association,out,metadata
C162152,Advanced Colon Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,Disease_Excludes_Abnormal_Cell,C36771,Malignant Squamous Cell,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,Disease_Excludes_Abnormal_Cell,C37153,Malignant Stromal Cell,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,Disease_Excludes_Abnormal_Cell,C36937,Neoplastic Smooth Muscle Cell,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,Disease_Excludes_Abnormal_Cell,C36760,Neoplastic Squamous Cell,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C36122,Benign Cellular Infiltrate,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C155862,Intermediate Grade Neuroendocrine Lesion,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C36162,Localized Disease,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C155864,Low Grade Neuroendocrine Lesion,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C62273,Mixed Neoplastic Glandular and Squamous Cell Population,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R142,Disease_Excludes_Finding,Disease_Excludes_Finding,C155861,Well Differentiated Neuroendocrine Lesion,role,out,constraint
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C36773,Adenocarcinoma Cell,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C12917,Malignant Cell,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C36779,Malignant Epithelial Cell,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C12922,Neoplastic Cell,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C36753,Neoplastic Epithelial Cell,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R105,Disease_Has_Abnormal_Cell,异常细胞,C36763,Neoplastic Glandular Cell,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C12382,Colon,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C54189,Colorectal Region,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C12378,Digestive System,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C12736,Intestine,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R100,Disease_Has_Associated_Anatomic_Site,相关解剖部位,C12379,Large Intestine,role,out,biomedical
C162152,Advanced Colon Adenocarcinoma,R108,Disease_Has_Finding,伴随 finding,C54172,Carcinomatous Component Present,role,out,biomedical
